"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"LUTZ2.IN2-19","FEAS","SUB",27,26,1,1,600.01,544796,14946432,"PA1"
"LUTZ2.IN2-20","FEAS","SUB",26,25,1,1,600.02,860187,8112891,"PA1"
"LUTZ2.IN2-21","FEAS","SUB",25,24,1,1,600.01,825298,12778408,"PA1"
"LUTZ3.IN2-75","PROV","OPT",23,23,0,0,431.45,548795,14065247,"PA1"
"LUTZ3.IN2-79","FEAS","OPT",22,21,0,0,600.01,673829,17480083,"PA1"
"LUTZ3.IN2-83","FEAS","SUB",23,20,2,2,600.05,374352,20138590,"PA1"
"LUTZ3.IN2-87","PROV","OPT",20,20,0,0,40.31,12765,698687,"PA1"
"LUTZ3.IN2-92","FEAS","OPT",19,18,0,0,600.01,1506781,11635979,"PA1"
"LUTZ3.IN2-97","PROV","OPT",18,18,0,0,63.41,36394,1650709,"PA1"
"LUTZ3.IN2-103","PROV","OPT",17,17,0,0,42.7,18920,745523,"PA1"
"LUTZ3.IN2-110","FEAS","SUB",16,15,1,1,600,1421741,19725675,"PA1"
"LUTZ3.IN2-118","PROV","OPT",14,14,0,0,130.01,321409,3188531,"PA1"
"LUTZ3.IN2-127","PROV","OPT",14,14,0,0,18.24,6820,411356,"PA1"
"LUTZ3.IN2-137","PROV","OPT",13,13,0,0,205.06,298388,9236408,"PA1"
"LUTZ3.IN2-150","FEAS","OPT",12,11,0,0,600.01,1549876,24782901,"PA1"
"MANSOOR.IN2-48","PROV","OPT",4,4,0,0,0.01,0,47,"PA1"
"MANSOOR.IN2-62","PROV","OPT",3,3,0,0,0.01,0,37,"PA1"
"MANSOOR.IN2-94","PROV","OPT",2,2,0,0,0,0,20,"PA1"
"MERTENS.IN2-6","PROV","OPT",6,6,0,0,0,0,11,"PA1"
"MERTENS.IN2-7","PROV","OPT",5,5,0,0,0.01,0,10,"PA1"
"MERTENS.IN2-8","PROV","OPT",5,5,0,0,0,0,13,"PA1"
"MERTENS.IN2-10","PROV","OPT",3,3,0,0,0.01,0,10,"PA1"
"MERTENS.IN2-15","PROV","OPT",2,2,0,0,0,0,2,"PA1"
"MERTENS.IN2-18","PROV","OPT",2,2,0,0,0,0,2,"PA1"
"MITCHELL.IN2-14","PROV","OPT",8,8,0,0,0.03,0,92,"PA1"
"MITCHELL.IN2-15","PROV","OPT",8,8,0,0,0.02,0,94,"PA1"
"MITCHELL.IN2-21","PROV","OPT",5,5,0,0,0.02,0,129,"PA1"
"MITCHELL.IN2-26","PROV","OPT",5,5,0,0,0.02,0,201,"PA1"
"MITCHELL.IN2-35","PROV","OPT",3,3,0,0,0.01,0,52,"PA1"
"MITCHELL.IN2-39","PROV","OPT",3,3,0,0,0.01,0,59,"PA1"
"MUKHERJE.IN2-176","PROV","OPT",25,25,0,0,9.24,3468,61611,"PA1"
"MUKHERJE.IN2-183","PROV","OPT",24,24,0,0,94.56,21216,1150966,"PA1"
"MUKHERJE.IN2-192","PROV","OPT",23,23,0,0,30.54,8304,283204,"PA1"
"MUKHERJE.IN2-201","PROV","OPT",22,22,0,0,12.04,5043,104465,"PA1"
"MUKHERJE.IN2-211","PROV","OPT",21,21,0,0,10.12,2505,92673,"PA1"
"MUKHERJE.IN2-222","PROV","OPT",20,20,0,0,58.78,100878,606748,"PA1"
"MUKHERJE.IN2-234","PROV","OPT",19,19,0,0,3.88,2241,44903,"PA1"
"MUKHERJE.IN2-248","PROV","OPT",18,18,0,0,3.14,1643,38910,"PA1"
"MUKHERJE.IN2-263","PROV","OPT",17,17,0,0,7.91,3151,93959,"PA1"
"MUKHERJE.IN2-281","PROV","OPT",16,16,0,0,1.37,488,18038,"PA1"
"MUKHERJE.IN2-301","PROV","OPT",15,15,0,0,2.18,1016,27804,"PA1"
"MUKHERJE.IN2-324","PROV","OPT",14,14,0,0,2.34,795,24080,"PA1"
"MUKHERJE.IN2-351","PROV","OPT",13,13,0,0,1.63,790,30575,"PA1"
"ROSZIEG.IN2-14","PROV","OPT",10,10,0,0,0.05,0,256,"PA1"
"ROSZIEG.IN2-16","PROV","OPT",8,8,0,0,0.04,0,159,"PA1"
"ROSZIEG.IN2-18","PROV","OPT",8,8,0,0,0.03,0,161,"PA1"
"ROSZIEG.IN2-21","PROV","OPT",6,6,0,0,0.03,0,233,"PA1"
"ROSZIEG.IN2-25","PROV","OPT",6,6,0,0,0.03,0,302,"PA1"
"ROSZIEG.IN2-32","PROV","OPT",4,4,0,0,0.02,0,337,"PA1"
"SAWYER30.IN2-25","PROV","OPT",14,14,0,0,2.91,1641,135636,"PA1"
"SAWYER30.IN2-27","PROV","OPT",13,13,0,0,7.24,2048,334416,"PA1"
"SAWYER30.IN2-30","PROV","OPT",12,12,0,0,0.25,211,3586,"PA1"
"SAWYER30.IN2-33","PROV","OPT",11,11,0,0,7.13,51825,373453,"PA1"
"SAWYER30.IN2-36","PROV","OPT",10,10,0,0,4.09,4639,245651,"PA1"
"SAWYER30.IN2-41","PROV","OPT",8,8,0,0,0.15,0,567,"PA1"
"SAWYER30.IN2-47","PROV","OPT",7,7,0,0,2.29,6798,149356,"PA1"
"SAWYER30.IN2-54","PROV","OPT",7,7,0,0,0.17,51,1158,"PA1"
"SAWYER30.IN2-75","PROV","OPT",5,5,0,0,0.02,0,140,"PA1"
"SCHOLL.IN2-1394","INF","SUB",NA,NA,NA,NA,600,2846,993908,"PA1"
"SCHOLL.IN2-1422","INF","SUB",NA,NA,NA,NA,600,2537,893120,"PA1"
"SCHOLL.IN2-1452","INF","SUB",NA,NA,NA,NA,600,4437,890221,"PA1"
"SCHOLL.IN2-1483","INF","SUB",NA,NA,NA,NA,600.01,3105,1391617,"PA1"
"SCHOLL.IN2-1515","INF","SUB",NA,NA,NA,NA,600,2383,1099667,"PA1"
"SCHOLL.IN2-1548","INF","SUB",NA,NA,NA,NA,600.01,3893,1101524,"PA1"
"SCHOLL.IN2-1584","INF","SUB",NA,NA,NA,NA,600,2338,1266003,"PA1"
"SCHOLL.IN2-1620","INF","SUB",NA,NA,NA,NA,600,2970,1011795,"PA1"
"SCHOLL.IN2-1659","INF","SUB",NA,NA,NA,NA,600,3515,1136615,"PA1"
"SCHOLL.IN2-1699","INF","SUB",NA,NA,NA,NA,600.05,2862,946853,"PA1"
"SCHOLL.IN2-1742","INF","SUB",NA,NA,NA,NA,600.01,3209,1261640,"PA1"
"SCHOLL.IN2-1787","INF","SUB",NA,NA,NA,NA,600.05,4340,1334123,"PA1"
"SCHOLL.IN2-1834","INF","SUB",NA,NA,NA,NA,600,4361,1191961,"PA1"
"SCHOLL.IN2-1883","INF","SUB",NA,NA,NA,NA,600,3677,940584,"PA1"
"SCHOLL.IN2-1935","INF","SUB",NA,NA,NA,NA,600,3348,1076438,"PA1"
"SCHOLL.IN2-1991","INF","SUB",NA,NA,NA,NA,600,3714,1454843,"PA1"
"SCHOLL.IN2-2049","INF","SUB",NA,NA,NA,NA,600,4898,1222255,"PA1"
"SCHOLL.IN2-2111","INF","SUB",NA,NA,NA,NA,600.01,3876,1310359,"PA1"
"SCHOLL.IN2-2177","INF","SUB",NA,NA,NA,NA,600,5484,1664509,"PA1"
"SCHOLL.IN2-2247","INF","SUB",NA,NA,NA,NA,600,9464,1889571,"PA1"
"SCHOLL.IN2-2322","INF","SUB",NA,NA,NA,NA,600,8477,1790270,"PA1"
"SCHOLL.IN2-2402","INF","SUB",NA,NA,NA,NA,600,9133,2065114,"PA1"
"SCHOLL.IN2-2488","INF","SUB",NA,NA,NA,NA,600,7943,2127118,"PA1"
"SCHOLL.IN2-2580","INF","SUB",NA,NA,NA,NA,600,10630,1860911,"PA1"
"SCHOLL.IN2-2680","INF","SUB",NA,NA,NA,NA,600,7860,2547298,"PA1"
"SCHOLL.IN2-2787","INF","SUB",NA,NA,NA,NA,600,11437,2302717,"PA1"
"TONGE70.IN2-160","FEAS","OPT",23,22,0,0,600.01,790209,23211425,"PA1"
"TONGE70.IN2-168","FEAS","SUB",23,21,1,1,600.05,987450,18277440,"PA1"
"TONGE70.IN2-176","FEAS","OPT",21,20,0,0,600,127096,14742723,"PA1"
"TONGE70.IN2-185","FEAS","OPT",20,19,0,0,600,377346,13533713,"PA1"
